Query;Page;Clicks;Impressions;CTR;Position;;
comfort solutions fireplace;https://fireplacesutah.com/;11;160;0.06875;440.625;;
gas fireplace repair near me;https://fireplacesutah.com/fireplace-repair-service/;4;235;0.01702127659574468;8.706.382.978.723.400;;
fireplace repair;https://fireplacesutah.com/fireplace-repair-service/;3;390;0.007692307692307693;41.266.666.666.666.600;;
fireplaces utah;https://fireplacesutah.com/;3;305;0.009836065573770493;3.183.606.557.377.040;;
gas fireplace service near me;https://fireplacesutah.com/fireplace-repair-service/;3;31;0.0967741935483871;8.548.387.096.774.190;;
fireplace meaning;https://fireplacesutah.com/understanding-meaning-and-importance-of-fireplace-btus/;2;2885;0.0006932409012131716;7.034.662.045.060.650;;
fireplace stores near me;https://fireplacesutah.com/;2;252;0.007936507936507936;8.726.190.476.190.470;;
gas fireplace repair;https://fireplacesutah.com/fireplace-repair-service/;2;506;0.003952569169960474;42.262.845.849.802.300;;
gas fireplace repair near me;https://fireplacesutah.com/fireplace-services-in-south-jordan-utah/;2;32;0.0625;490.625;;
gas fireplace service near me;https://fireplacesutah.com/fireplace-services-in-south-jordan-utah/;2;12;0.16666666666666666;5.5;;
starting gas fireplace;https://fireplacesutah.com/easy-steps-to-start-a-gas-fireplace/;2;161;0.012422360248447204;9.596.273.291.925.460;;
baby proof fireplace gate;https://fireplacesutah.com/basic-tips-on-how-to-baby-proof-your-fireplace-area/;1;19;0.05263157894736842;16;;
comfort solutions;https://fireplacesutah.com/;1;796;0.001256281407035176;939.824.120.603.015;;
comfort solutions ogden;https://fireplacesutah.com/;1;136;0.007352941176470588;4.367.647.058.823.520;;
comfort solutions sandy;https://fireplacesutah.com/;1;334;0.0029940119760479044;5.517.964.071.856.280;;
comfort solutions utah;https://fireplacesutah.com/;1;157;0.006369426751592357;6.904.458.598.726.110;;
do gas fireplaces have chimneys;https://fireplacesutah.com/gas-fireplaces-and-chimneys-basics-and-types/;1;332;0.0030120481927710845;30.451.807.228.915.600;;
electric fireplace repair;https://fireplacesutah.com/fireplace-repair-service/;1;77;0.012987012987012988;4.815.584.415.584.410;;
electric fireplace repair near me;https://fireplacesutah.com/fireplace-services-in-south-jordan-utah/;1;3;0.3333333333333333;4;;
fire places;https://fireplacesutah.com/;1;16;0.0625;8.75;;
fireplace contractors near me;https://fireplacesutah.com/fireplace-services-in-bluffdale-utah/;1;1;1;2;;
fireplace conversion to gas near me;https://fireplacesutah.com/fireplace-services-in-riverton-utah/;1;1;1;4;;
fireplace design center;https://fireplacesutah.com/;1;1;1;2;;
fireplace fix;https://fireplacesutah.com/;1;2;0.5;3.5;;
fireplace gas repair near me;https://fireplacesutah.com/fireplace-services-in-bluffdale-utah/;1;1;1;3;;
fireplace inserts salt lake city;https://fireplacesutah.com/;1;29;0.034482758620689655;6.275.862.068.965.510;;
fireplace inserts utah;https://fireplacesutah.com/;1;35;0.02857142857142857;5.885.714.285.714.280;;
fireplace installation utah;https://fireplacesutah.com/;1;157;0.006369426751592357;6.789.808.917.197.450;;
fireplace installers near me;https://fireplacesutah.com/fireplace-services-in-west-valley-city-utah/;1;1;1;9;;
fireplace maintenance near me;https://fireplacesutah.com/fireplace-services-in-south-jordan-utah/;1;5;0.2;3.4;;
fireplace mantels near me;https://fireplacesutah.com/fireplace-mantels/;1;21;0.047619047619047616;9.047.619.047.619.040;;
fireplace ogden utah;https://fireplacesutah.com/;1;26;0.038461538461538464;5.5;;
fireplace person near me;https://fireplacesutah.com/fireplace-services-in-midvale-utah/;1;1;1;11;;
fireplace repair;https://fireplacesutah.com/;1;20;0.05;7.1;;
fireplace repair;https://fireplacesutah.com/fireplace-services-in-bountiful-utah/;1;3;0.3333333333333333;3;;
fireplace repair;https://fireplacesutah.com/sandy-utah-fireplace-contractor/;1;5;0.2;5.2;;
fireplace repair near me;https://fireplacesutah.com/;1;38;0.02631578947368421;77.631.578.947.368.400;;
fireplace repair salt lake city;https://fireplacesutah.com/;1;64;0.015625;1.859.375;;
fireplace repairs near me;https://fireplacesutah.com/fireplace-repair-service/;1;6;0.16666666666666666;7.833.333.333.333.330;;
fireplace salt lake city;https://fireplacesutah.com/;1;127;0.007874015748031496;7.960.629.921.259.840;;
fireplace service;https://fireplacesutah.com/;1;12;0.08333333333333333;8;;
fireplace service near me;https://fireplacesutah.com/fireplace-repair-service/;1;53;0.018867924528301886;849.056.603.773.585;;
fireplace service near me;https://fireplacesutah.com/fireplace-services-in-bountiful-utah/;1;3;0.3333333333333333;7;;
fireplace service near me;https://fireplacesutah.com/fireplace-services-in-south-jordan-utah/;1;5;0.2;4;;
fireplace servicing;https://fireplacesutah.com/fireplace-repair-service/;1;3;0.3333333333333333;7.333.333.333.333.330;;
fireplace store near me;https://fireplacesutah.com/;1;85;0.011764705882352941;12.235.294.117.647.000;;
fireplace utah;https://fireplacesutah.com/;1;231;0.004329004329004329;4.701.298.701.298.700;;
fireplaces salt lake city;https://fireplacesutah.com/;1;72;0.013888888888888888;6.75;;
fix fireplace near me;https://fireplacesutah.com/;1;1;1;3;;
gas fireplace blower;https://fireplacesutah.com/fireplace-blowers-basics-and-how-they-work/;1;2;0.5;2.5;;
gas fireplace btus;https://fireplacesutah.com/understanding-meaning-and-importance-of-fireplace-btus/;1;85;0.011764705882352941;11.741.176.470.588.200;;
gas fireplace chimney requirements;https://fireplacesutah.com/gas-fireplaces-and-chimneys-basics-and-types/;1;13;0.07692307692307693;1;;
